train_c_accuracy,train_c_auc,train_c_f1,train_y_accuracy,train_y_auc,train_y_f1,train_concept_loss,train_task_loss,train_loss,loss,epoch,step,val_c_accuracy,val_c_auc,val_c_f1,val_y_accuracy,val_y_auc,val_y_f1,val_concept_loss,val_task_loss,val_loss
0.9345238208770752,0.4072898328304291,0.0,0.75,0.9375,0.0,0.24141067266464233,1.5722781419754028,1.8136887550354004,1.8136887550354004,0,9,,,,,,,,,
,,,,,,,,,,0,15,1.0,0.0,-4.603093967759712e+27,0.9150000214576721,0.871243417263031,0.6178461313247681,0.014835880137979984,0.6940957903862,0.708931565284729
0.9166666865348816,0.8156972527503967,0.0,0.90625,0.9555555582046509,0.6666666865348816,0.3366239666938782,0.8708841800689697,1.2075080871582031,1.2075080871582031,1,19,,,,,,,,,
0.9151785969734192,0.8150270581245422,0.0,0.71875,0.8717948198318481,0.5263158082962036,0.23784635961055756,0.8342500329017639,1.072096347808838,1.072096347808838,1,29,,,,,,,,,
,,,,,,,,,,1,31,1.0,0.0,-1.245398779643243e+24,0.8299999833106995,0.9131896495819092,0.5335338115692139,0.036648672074079514,0.7359248995780945,0.7725736498832703
0.9270833134651184,0.7512863874435425,0.0,0.96875,0.9427083134651184,0.9333333373069763,0.2033897191286087,0.6837168335914612,0.8871065378189087,0.8871065378189087,2,39,,,,,,,,,
,,,,,,,,,,2,47,1.0,0.0,-1.0454684837871616e+16,0.9100000262260437,0.9222676157951355,0.6464762091636658,0.029948491603136063,0.6054226160049438,0.6353710889816284
0.8898809552192688,0.8357253670692444,0.0,0.84375,0.9257142543792725,0.6666666865348816,0.2544000446796417,0.8654628992080688,1.1198629140853882,1.1198629140853882,3,49,,,,,,,,,
0.9523809552192688,0.5487414598464966,0.1111111119389534,0.90625,0.9487179517745972,0.800000011920929,0.13606414198875427,0.37946075201034546,0.5155248641967773,0.5155248641967773,3,59,,,,,,,,,
,,,,,,,,,,3,63,1.0,0.0,-1.048936939324575e+31,0.925000011920929,0.9346560835838318,0.6427350640296936,0.028578996658325195,0.8213847279548645,0.8499637842178345
0.961309552192688,0.5979615449905396,0.0,0.90625,0.9851851463317871,0.7272727489471436,0.11858592927455902,0.3315313756465912,0.450117290019989,0.450117290019989,4,69,,,,,,,,,
0.817460298538208,0.5964285731315613,0.2068965584039688,0.8333333134651184,1.0,0.8571428656578064,0.3357190489768982,0.514258623123169,0.8499776721000671,0.8499776721000671,4,79,,,,,,,,,
,,,,,,,,,,4,79,0.9945237636566162,0.0,-1.2158815254335094e+30,0.875,0.9333509206771851,0.5995131731033325,0.05940895900130272,0.5731955170631409,0.6326044797897339
0.9702380895614624,0.5364348292350769,0.1666666716337204,0.96875,0.9642857313156128,0.8888888955116272,0.122439906001091,0.3399810492992401,0.4624209403991699,0.4624209403991699,5,89,,,,,,,,,
,,,,,,,,,,5,95,0.9995237588882446,0.0,-2.1609640387885337e+21,0.9100000262260437,0.9476847648620605,0.616263747215271,0.035787951201200485,0.5963038206100464,0.6320917010307312
0.9360119104385376,0.8351618647575378,0.08510638028383255,0.84375,0.8839285373687744,0.6153846383094788,0.12405739724636078,0.5206508636474609,0.6447082757949829,0.6447082757949829,6,99,,,,,,,,,
0.9166666865348816,0.8654754161834717,0.125,0.9375,1.0,0.875,0.15303903818130493,0.23114998638629913,0.38418900966644287,0.38418900966644287,6,109,,,,,,,,,
,,,,,,,,,,6,111,0.9959523677825928,0.0,0.0,0.824999988079071,0.947976291179657,0.5921149253845215,0.07031664997339249,0.5261629223823547,0.5964795351028442
0.9598214030265808,0.5502135157585144,0.06896551698446274,0.96875,1.0,0.8888888955116272,0.088669553399086,0.13680607080459595,0.22547562420368195,0.22547562420368195,7,119,,,,,,,,,
,,,,,,,,,,7,127,0.9909523725509644,0.0,0.0,0.5899999737739563,0.9482252597808838,0.3880701959133148,0.16157808899879456,1.1773433685302734,1.3389215469360352
0.9226190447807312,0.8134975433349609,0.13333334028720856,0.8125,0.9599999785423279,0.699999988079071,0.2112712860107422,0.4922371804714203,0.7035084962844849,0.7035084962844849,8,129,,,,,,,,,
0.9434523582458496,0.5596102476119995,0.3214285671710968,0.90625,1.0,0.8421052694320679,0.1334073692560196,0.34533530473709106,0.47874265909194946,0.47874265909194946,8,139,,,,,,,,,
,,,,,,,,,,8,143,0.9902381300926208,0.0,0.0,0.8849999904632568,0.9445961713790894,0.6111658215522766,0.036434244364500046,0.6444645524024963,0.6808988451957703
0.9538690447807312,0.8241315484046936,0.3921568691730499,0.875,0.9642857313156128,0.6666666865348816,0.12729394435882568,0.3349839448928833,0.462277889251709,0.462277889251709,9,149,,,,,,,,,
0.976190447807312,0.1428571492433548,0.4000000059604645,1.0,1.0,1.0,0.05878147482872009,0.03277307003736496,0.09155454486608505,0.09155454486608505,9,159,,,,,,,,,
,,,,,,,,,,9,159,0.9830952286720276,0.0,1.0097457917348743e-30,0.9100000262260437,0.9520203471183777,0.7162527441978455,0.06068890169262886,0.5393730401992798,0.6000618934631348
0.9642857313156128,0.6279513239860535,0.4285714328289032,0.875,0.9851851463317871,0.7142857313156128,0.107464998960495,0.2705572545528412,0.3780222535133362,0.3780222535133362,10,169,,,,,,,,,
,,,,,,,,,,10,175,0.9719047546386719,0.0,0.0,0.8600000143051147,0.9522495865821838,0.6485481262207031,0.10921109467744827,0.48180073499679565,0.5910118222236633
0.9642857313156128,0.6293395161628723,0.4545454680919647,0.875,1.0,0.6666666865348816,0.10329458862543106,0.18504026532173157,0.28833484649658203,0.28833484649658203,11,179,,,,,,,,,
0.8928571343421936,0.8914155960083008,0.48571428656578064,0.90625,0.9947916865348816,0.8421052694320679,0.25546881556510925,0.40460142493247986,0.6600702404975891,0.6600702404975891,11,189,,,,,,,,,
,,,,,,,,,,11,191,0.9978571534156799,0.0,0.0,0.9200000166893005,0.953620970249176,0.622843861579895,0.033268675208091736,0.5836649537086487,0.6169336438179016
0.9122023582458496,0.9219502210617065,0.28915661573410034,0.90625,0.9807692170143127,0.800000011920929,0.20926488935947418,0.314264714717865,0.523529589176178,0.523529589176178,12,199,,,,,,,,,
,,,,,,,,,,12,207,0.9680952429771423,0.0,0.0,0.7850000262260437,0.9497758746147156,0.5358301401138306,0.12254513055086136,0.7280834317207336,0.850628674030304
0.9464285969734192,0.7673072814941406,0.4193548262119293,0.90625,1.0,0.7272727489471436,0.1646716594696045,0.207206591963768,0.3718782663345337,0.3718782663345337,13,209,,,,,,,,,
0.9836309552192688,0.408496230840683,0.3529411852359772,0.90625,0.949999988079071,0.4000000059604645,0.06330461800098419,0.4033238887786865,0.4666284918785095,0.4666284918785095,13,219,,,,,,,,,
,,,,,,,,,,13,223,0.9923809766769409,0.0,0.0,0.9100000262260437,0.9419687390327454,0.6690109968185425,0.029907703399658203,0.7903625965118408,0.820270299911499
0.9360119104385376,0.7285088300704956,0.4109589159488678,0.875,0.9679486751556396,0.75,0.1667128950357437,0.4141354262828827,0.5808483362197876,0.5808483362197876,14,229,,,,,,,,,
0.9285714030265808,0.1190476194024086,0.0,0.6666666865348816,1.0,0.5,0.35376277565956116,0.4425501823425293,0.7963129281997681,0.7963129281997681,14,239,,,,,,,,,
