train_loss_step,train_concept_loss_step,train_task_loss_step,epoch,step,val_loss,val_concept_loss,val_task_loss,train_loss_epoch,train_concept_loss_epoch,train_task_loss_epoch
2.3463358879089355,0.0,2.3463358879089355,0,9,,,,,,
,,,0,15,2.4219772815704346,0.0,2.4219772815704346,,,
,,,0,15,,,,3.0996015071868896,0.0,3.0996015071868896
1.8224411010742188,0.0,1.8224411010742188,1,19,,,,,,
3.367875337600708,0.0,3.367875337600708,1,29,,,,,,
,,,1,31,2.4131975173950195,0.0,2.4131975173950195,,,
,,,1,31,,,,3.0917131900787354,0.0,3.0917131900787354
3.368340015411377,0.0,3.368340015411377,2,39,,,,,,
,,,2,47,2.408870220184326,0.0,2.408870220184326,,,
,,,2,47,,,,3.090460777282715,0.0,3.090460777282715
2.3256325721740723,0.0,2.3256325721740723,3,49,,,,,,
1.2837669849395752,0.0,1.2837669849395752,3,59,,,,,,
,,,3,63,2.409456253051758,0.0,2.409456253051758,,,
,,,3,63,,,,3.0897746086120605,0.0,3.0897746086120605
2.847515344619751,0.0,2.847515344619751,4,69,,,,,,
0.24376654624938965,0.0,0.24376654624938965,4,79,,,,,,
,,,4,79,2.409843683242798,0.0,2.409843683242798,,,
,,,4,79,,,,3.089808702468872,0.0,3.089808702468872
3.8926262855529785,0.0,3.8926262855529785,5,89,,,,,,
,,,5,95,2.406313419342041,0.0,2.406313419342041,,,
,,,5,95,,,,3.0905144214630127,0.0,3.0905144214630127
4.9390153884887695,0.0,4.9390153884887695,6,99,,,,,,
2.846372127532959,0.0,2.846372127532959,6,109,,,,,,
,,,6,111,2.407197952270508,0.0,2.407197952270508,,,
,,,6,111,,,,3.0897367000579834,0.0,3.0897367000579834
3.3691201210021973,0.0,3.3691201210021973,7,119,,,,,,
,,,7,127,2.407527208328247,0.0,2.407527208328247,,,
,,,7,127,,,,3.089604616165161,0.0,3.089604616165161
4.936123847961426,0.0,4.936123847961426,8,129,,,,,,
2.847550392150879,0.0,2.847550392150879,8,139,,,,,,
,,,8,143,2.4100706577301025,0.0,2.4100706577301025,,,
,,,8,143,,,,3.089987277984619,0.0,3.089987277984619
3.3685693740844727,0.0,3.3685693740844727,9,149,,,,,,
3.020841598510742,0.0,3.020841598510742,9,159,,,,,,
,,,9,159,2.408500909805298,0.0,2.408500909805298,,,
,,,9,159,,,,3.089982748031616,0.0,3.089982748031616
4.412859916687012,0.0,4.412859916687012,10,169,,,,,,
,,,10,175,2.4083609580993652,0.0,2.4083609580993652,,,
,,,10,175,,,,3.089674472808838,0.0,3.089674472808838
1.801534652709961,0.0,1.801534652709961,11,179,,,,,,
2.846344470977783,0.0,2.846344470977783,11,189,,,,,,
,,,11,191,2.4070754051208496,0.0,2.4070754051208496,,,
