epoch,step,train_c_logit_mean,train_c_logit_std,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
0,9,,,,0.527597963809967,,18.700544357299805,,18.17294692993164,,,
0,12,-0.5484502911567688,0.39216750860214233,,,,,,,0.4945816993713379,9.812060356140137,9.317479133605957
0,12,,,0.6109298467636108,,14.905808448791504,,14.294878959655762,,,,
1,19,,,,0.5460475087165833,,9.94832992553711,,9.40228271484375,,,
1,25,-0.4261300265789032,0.2249314785003662,,,,,,,0.5297389030456543,11.237075805664062,10.70733642578125
1,25,,,0.499752402305603,,10.742107391357422,,10.242353439331055,,,,
2,29,,,,0.4886302947998047,,12.198112487792969,,11.709482192993164,,,
2,38,-0.6708808541297913,0.36473435163497925,,,,,,,0.45768216252326965,9.801279067993164,9.343596458435059
2,38,,,0.4954994022846222,,9.404386520385742,,8.908886909484863,,,,
3,39,,,,0.4129233658313751,,2.3390653133392334,,1.9261419773101807,,,
3,49,,,,0.3763806223869324,,8.816457748413086,,8.44007682800293,,,
3,51,-1.5923635959625244,0.879406750202179,,,,,,,0.2952435314655304,9.4263334274292,9.13109016418457
3,51,,,0.4018954932689667,,8.686126708984375,,8.284231185913086,,,,
4,59,,,,0.4578600525856018,,8.352365493774414,,7.894505023956299,,,
4,64,-0.7128301858901978,0.46900051832199097,,,,,,,0.447552353143692,10.028090476989746,9.580538749694824
4,64,,,0.3856011927127838,,9.637150764465332,,9.25154972076416,,,,
5,69,,,,0.475583553314209,,9.660467147827148,,9.184883117675781,,,
5,77,-0.8780843019485474,0.5288884043693542,,,,,,,0.41459640860557556,9.565093994140625,9.150497436523438
5,77,,,0.45224934816360474,,8.023670196533203,,7.571419715881348,,,,
6,79,,,,0.3585542142391205,,3.1161844730377197,,2.7576303482055664,,,
6,89,,,,0.30808207392692566,,11.244830131530762,,10.936748504638672,,,
