epoch,step,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
0,9,,0.5303781628608704,,6.79461669921875,,6.264238357543945,,,
0,12,,,,,,,0.5109601616859436,2.6830954551696777,2.172135353088379
0,12,0.5820716619491577,,7.53476095199585,,6.9526896476745605,,,,
1,19,,0.40757298469543457,,4.03662109375,,3.6290483474731445,,,
1,25,,,,,,,0.37281256914138794,5.866580963134766,5.493767738342285
1,25,0.40614351630210876,,3.0877606868743896,,2.681617259979248,,,,
2,29,,0.3091432452201843,,3.857539415359497,,3.548396110534668,,,
2,38,,,,,,,0.19281458854675293,3.5190162658691406,3.3262016773223877
2,38,0.3163122236728668,,4.47802209854126,,4.161709785461426,,,,
3,39,,0.08516709506511688,,0.9470216631889343,,0.8618545532226562,,,
3,49,,0.25328370928764343,,1.399377465248108,,1.146093726158142,,,
3,51,,,,,,,0.17199170589447021,2.976578950881958,2.8045876026153564
3,51,0.18957169353961945,,2.379715919494629,,2.1901440620422363,,,,
4,59,,0.125601664185524,,1.0586936473846436,,0.9330919981002808,,,
4,64,,,,,,,0.18595924973487854,2.927206039428711,2.7412467002868652
4,64,0.17410296201705933,,1.915091872215271,,1.7409889698028564,,,,
5,69,,0.2719041407108307,,2.641124963760376,,2.369220733642578,,,
5,77,,,,,,,0.18789391219615936,3.0315794944763184,2.8436856269836426
5,77,0.16407780349254608,,2.125391721725464,,1.9613134860992432,,,,
6,79,,0.08523650467395782,,0.6556436419487,,0.5704071521759033,,,
6,89,,0.18665771186351776,,3.948054552078247,,3.761396884918213,,,
6,90,,,,,,,0.1747698038816452,2.8984620571136475,2.7236921787261963
6,90,0.16887730360031128,,2.284710168838501,,2.115833044052124,,,,
7,99,,0.22130687534809113,,2.1118173599243164,,1.8905105590820312,,,
7,103,,,,,,,0.17141413688659668,2.9513144493103027,2.779900312423706
7,103,0.15837477147579193,,1.6138660907745361,,1.4554914236068726,,,,
8,109,,0.08909379690885544,,0.35044318437576294,,0.2613493800163269,,,
8,116,,,,,,,0.1930343210697174,3.500343084335327,3.3073089122772217
8,116,0.15402063727378845,,1.3327587842941284,,1.1787382364273071,,,,
9,119,,0.1679425984621048,,1.9538629055023193,,1.785920262336731,,,
9,129,,0.052138861268758774,,0.5619082450866699,,0.5097693800926208,,,
9,129,,,,,,,0.1669011265039444,3.3069825172424316,3.1400814056396484
9,129,0.16879168152809143,,1.6584385633468628,,1.4896467924118042,,,,
10,139,,0.14810732007026672,,2.010361671447754,,1.8622543811798096,,,
10,142,,,,,,,0.17247004806995392,2.8080058097839355,2.635535717010498
10,142,0.1590740978717804,,1.3782824277877808,,1.2192083597183228,,,,
11,149,,0.1008044183254242,,0.4801025688648224,,0.3792981505393982,,,
11,155,,,,,,,0.18251360952854156,4.67323637008667,4.490723133087158
11,155,0.1565600484609604,,1.2410335540771484,,1.0844734907150269,,,,
12,159,,0.12245012819766998,,0.28848934173583984,,0.16603922843933105,,,
12,168,,,,,,,0.172305166721344,2.358433723449707,2.1861283779144287
12,168,0.15620684623718262,,1.4464017152786255,,1.2901948690414429,,,,
13,169,,0.14641234278678894,,0.2829529047012329,,0.13654056191444397,,,
13,179,,0.1356278657913208,,0.9260032176971436,,0.7903753519058228,,,
13,181,,,,,,,0.17057283222675323,2.8388826847076416,2.6683096885681152
13,181,0.1720690131187439,,1.6706390380859375,,1.498570203781128,,,,
14,189,,0.13649475574493408,,0.8127977848052979,,0.6763030290603638,,,
14,194,,,,,,,0.17952512204647064,3.325293779373169,3.145768880844116
14,194,0.1570797860622406,,1.4578862190246582,,1.3008062839508057,,,,
15,199,,0.11638319492340088,,0.27702924609184265,,0.16064605116844177,,,
15,207,,,,,,,0.16984324157238007,2.931087017059326,2.7612438201904297
15,207,0.16515730321407318,,1.6916700601577759,,1.5265127420425415,,,,
16,209,,0.08564196527004242,,0.8599667549133301,,0.7743247747421265,,,
16,219,,0.14139579236507416,,0.565959095954895,,0.42456328868865967,,,
16,220,,,,,,,0.1711934506893158,3.4268157482147217,3.255622148513794
16,220,0.15067839622497559,,1.1547690629959106,,1.004090666770935,,,,
17,229,,0.13933490216732025,,0.36624467372894287,,0.22690977156162262,,,
