train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
5.088760852813721,3.809926986694336,1.2788338661193848,0,9,,,,,,
,,,0,12,3.517662763595581,2.328556537628174,1.1891065835952759,,,
,,,0,12,,,,7.457812786102295,6.176551818847656,1.2812604904174805
3.458956718444824,2.3658876419067383,1.0930689573287964,1,19,,,,,,
,,,1,25,3.6557047367095947,2.631521224975586,1.0241836309432983,,,
,,,1,25,,,,3.505448818206787,2.42464542388916,1.0808035135269165
4.398438930511475,3.1579699516296387,1.240468978881836,2,29,,,,,,
,,,2,38,3.281425952911377,2.411377191543579,0.8700487017631531,,,
,,,2,38,,,,3.3998658657073975,2.498405933380127,0.9014593958854675
1.0757131576538086,0.6172673106193542,0.45844587683677673,3,39,,,,,,
3.563436985015869,2.4443140029907227,1.1191229820251465,3,49,,,,,,
,,,3,51,3.3895418643951416,2.558441400527954,0.8311004638671875,,,
,,,3,51,,,,3.2646305561065674,2.520646333694458,0.7439841032028198
4.071563720703125,3.2475218772888184,0.8240419030189514,4,59,,,,,,
,,,4,64,3.133859395980835,2.2994754314422607,0.8343840837478638,,,
,,,4,64,,,,2.7991533279418945,2.0617408752441406,0.7374125719070435
2.0860414505004883,1.3170251846313477,0.7690163850784302,5,69,,,,,,
,,,5,77,3.3858470916748047,2.551079511642456,0.8347674012184143,,,
,,,5,77,,,,2.7749617099761963,2.044562339782715,0.7303993701934814
2.115664005279541,1.7994165420532227,0.3162473738193512,6,79,,,,,,
1.5997061729431152,0.9837667346000671,0.6159394979476929,6,89,,,,,,
,,,6,90,5.1403727531433105,4.247015953063965,0.8933570981025696,,,
,,,6,90,,,,2.2760777473449707,1.6084190607070923,0.6676588654518127
5.011074066162109,4.047172546386719,0.9639015197753906,7,99,,,,,,
,,,7,103,3.421708106994629,2.564669132232666,0.8570390939712524,,,
,,,7,103,,,,2.778484582901001,2.059685707092285,0.7187989354133606
4.2793731689453125,3.507563591003418,0.7718097567558289,8,109,,,,,,
,,,8,116,5.761702537536621,4.38687801361084,1.3748250007629395,,,
,,,8,116,,,,2.237715482711792,1.5405943393707275,0.6971212029457092
3.626300096511841,3.124370813369751,0.5019292235374451,9,119,,,,,,
2.991095781326294,2.160919189453125,0.830176591873169,9,129,,,,,,
,,,9,129,3.372556447982788,2.628164529800415,0.7443919777870178,,,
,,,9,129,,,,3.034402370452881,2.2473182678222656,0.7870841026306152
1.4954214096069336,0.9220800399780273,0.5733413100242615,10,139,,,,,,
,,,10,142,3.4297187328338623,2.6971030235290527,0.7326154112815857,,,
,,,10,142,,,,2.383403778076172,1.6594547033309937,0.7239492535591125
1.7659744024276733,1.3601880073547363,0.4057864248752594,11,149,,,,,,
,,,11,155,4.751605987548828,3.970116138458252,0.7814897894859314,,,
,,,11,155,,,,2.418513298034668,1.680668830871582,0.7378445863723755
0.9329016804695129,0.3520163297653198,0.5808853507041931,12,159,,,,,,
,,,12,168,3.7321829795837402,2.6899290084838867,1.042253851890564,,,
,,,12,168,,,,2.141864538192749,1.4524574279785156,0.6894073486328125
2.802366256713867,1.9059251546859741,0.8964409828186035,13,169,,,,,,
1.6495193243026733,1.0988483428955078,0.5506709814071655,13,179,,,,,,
,,,13,181,3.7932188510894775,2.9016780853271484,0.8915410041809082,,,
,,,13,181,,,,2.4556922912597656,1.6209111213684082,0.8347810506820679
1.9121959209442139,1.234075903892517,0.6781200766563416,14,189,,,,,,
,,,14,194,3.708545684814453,2.828335762023926,0.8802098035812378,,,
,,,14,194,,,,2.190990924835205,1.4961562156677246,0.69483482837677
7.430829048156738,6.565937519073486,0.8648915886878967,15,199,,,,,,
,,,15,207,3.5599284172058105,2.5595574378967285,1.000370740890503,,,
,,,15,207,,,,2.650738477706909,1.9635570049285889,0.687181830406189
1.9526183605194092,1.5965982675552368,0.35602015256881714,16,209,,,,,,
1.689100980758667,1.0616692304611206,0.6274318099021912,16,219,,,,,,
,,,16,220,3.437840700149536,2.6418161392211914,0.796024739742279,,,
,,,16,220,,,,2.2557640075683594,1.5944335460662842,0.6613302230834961
0.5808961987495422,0.0003517672303132713,0.5805444121360779,17,229,,,,,,
,,,17,233,4.530822277069092,3.6531484127044678,0.8776735663414001,,,
,,,17,233,,,,1.9571453332901,1.332016110420227,0.6251294016838074
2.1738932132720947,1.2469756603240967,0.9269174933433533,18,239,,,,,,
,,,18,246,3.4777162075042725,2.719867706298828,0.7578486204147339,,,
,,,18,246,,,,2.441450595855713,1.538517951965332,0.9029327630996704
2.556678295135498,1.8455148935317993,0.7111634612083435,19,249,,,,,,
7.740569114685059,6.900169372558594,0.840399980545044,19,259,,,,,,
,,,19,259,3.7488858699798584,2.982602596282959,0.7662833333015442,,,
,,,19,259,,,,2.4628043174743652,1.637143850326538,0.8256605267524719
2.1686882972717285,0.9456514120101929,1.2230368852615356,20,269,,,,,,
,,,20,272,5.1777238845825195,3.0706605911254883,2.107063055038452,,,
,,,20,272,,,,3.9490768909454346,2.745711088180542,1.2033652067184448
2.6039488315582275,0.7565864324569702,1.8473623991012573,21,279,,,,,,
,,,21,285,5.857181549072266,4.675087928771973,1.182093620300293,,,
,,,21,285,,,,3.155406951904297,2.1834187507629395,0.9719880819320679
4.417314529418945,2.512606382369995,1.9047081470489502,22,289,,,,,,
,,,22,298,11.201444625854492,8.82584285736084,2.375603199005127,,,
,,,22,298,,,,8.834857940673828,7.303293704986572,1.5315639972686768
7.34429931640625,4.881209850311279,2.4630894660949707,23,299,,,,,,
18.00651741027832,16.357635498046875,1.6488817930221558,23,309,,,,,,
,,,23,311,5.776760101318359,4.380138397216797,1.3966220617294312,,,
,,,23,311,,,,13.46996021270752,11.81619644165039,1.6537647247314453
6.225930690765381,4.288439750671387,1.9374908208847046,24,319,,,,,,
,,,24,324,11.06248664855957,8.879633903503418,2.1828508377075195,,,
,,,24,324,,,,6.79072380065918,4.839332103729248,1.9513918161392212
34.954345703125,32.90168762207031,2.052657127380371,25,329,,,,,,
,,,25,337,6.322048664093018,4.760355472564697,1.561693787574768,,,
