train_loss_step,train_concept_loss_step,train_task_loss_base_step,train_intervention_loss_step,train_task_loss_rollout_step,train_avg_interventions_step,current_horizon_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_concept_loss_epoch,train_task_loss_base_epoch,train_intervention_loss_epoch,train_task_loss_rollout_epoch,train_avg_interventions_epoch,current_horizon_epoch
inf,0.6209695339202881,15.267475128173828,inf,31.417312622070312,2.0,2.0,0,9,,,,,,,,,,
,,,,,,,0,12,8.31748104095459,7.668485164642334,0.6489956974983215,,,,,,,
,,,,,,,0,12,,,,inf,0.6549056768417358,14.98629379272461,inf,31.466266632080078,2.0,2.0
inf,0.6087131500244141,11.288019180297852,inf,26.251815795898438,2.0,2.009999990463257,1,19,,,,,,,,,,
,,,,,,,1,25,6.4118523597717285,5.811938762664795,0.5999137759208679,,,,,,,
,,,,,,,1,25,,,,inf,0.6278668642044067,6.474306106567383,inf,14.067946434020996,2.0,2.009999990463257
inf,0.5965055823326111,3.9682326316833496,inf,5.640458106994629,2.0,2.020050048828125,2,29,,,,,,,,,,
,,,,,,,2,38,5.9926276206970215,5.369810104370117,0.6228181719779968,,,,,,,
,,,,,,,2,38,,,,inf,0.6132999658584595,5.336341857910156,inf,10.4185152053833,2.0,2.020050048828125
inf,0.647140622138977,1.0857980251312256,inf,2.6084485054016113,2.0,2.0301501750946045,3,39,,,,,,,,,,
inf,0.6165002584457397,4.787600517272949,inf,6.755692005157471,2.0,2.0301501750946045,3,49,,,,,,,,,,
,,,,,,,3,51,6.470115661621094,5.901487350463867,0.5686282515525818,,,,,,,
,,,,,,,3,51,,,,inf,0.6192567348480225,4.79938268661499,inf,9.78079605102539,2.0,2.0301499366760254
inf,0.590882420539856,6.362799644470215,inf,8.954273223876953,2.0,2.0403010845184326,4,59,,,,,,,,,,
,,,,,,,4,64,6.567572593688965,6.056375980377197,0.5111966133117676,,,,,,,
,,,,,,,4,64,,,,inf,0.5605996251106262,4.848230838775635,inf,9.312559127807617,2.0,2.0403008460998535
inf,0.46851566433906555,2.5770275592803955,inf,3.443422555923462,2.0,2.0505025386810303,5,69,,,,,,,,,,
,,,,,,,5,77,6.071994781494141,5.622232437133789,0.44976237416267395,,,,,,,
,,,,,,,5,77,,,,inf,0.5110355615615845,4.548760890960693,inf,9.569803237915039,2.0,2.0505027770996094
inf,0.4542645215988159,1.2245937585830688,inf,2.2399325370788574,2.0,2.0607550144195557,6,79,,,,,,,,,,
inf,0.5288106799125671,7.079883575439453,inf,10.830095291137695,2.0,2.0607550144195557,6,89,,,,,,,,,,
,,,,,,,6,90,6.279901027679443,5.801076889038086,0.4788241386413574,,,,,,,
,,,,,,,6,90,,,,inf,0.45026418566703796,3.611107349395752,inf,7.225865840911865,2.0,2.0607550144195557
inf,0.629618227481842,2.527862071990967,inf,4.7714924812316895,2.0,2.071058750152588,7,99,,,,,,,,,,
,,,,,,,7,103,5.583520412445068,5.051801681518555,0.5317190289497375,,,,,,,
,,,,,,,7,103,,,,inf,0.5433729290962219,3.4140024185180664,inf,6.564137935638428,2.0,2.071058511734009
inf,0.4573041796684265,3.4937949180603027,inf,7.811351776123047,2.0,2.081413984298706,8,109,,,,,,,,,,
,,,,,,,8,116,6.0147480964660645,5.561811923980713,0.45293620228767395,,,,,,,
,,,,,,,8,116,,,,inf,0.5318406224250793,2.9865782260894775,inf,7.200502395629883,2.0,2.081413745880127
inf,0.4290657937526703,3.2196197509765625,inf,3.0955588817596436,2.0,2.0918211936950684,9,119,,,,,,,,,,
inf,0.5990740060806274,13.992842674255371,inf,39.34640121459961,2.0,2.0918211936950684,9,129,,,,,,,,,,
,,,,,,,9,129,6.5963873863220215,6.0906171798706055,0.5057703852653503,,,,,,,
,,,,,,,9,129,,,,inf,0.5044187307357788,4.048017501831055,inf,8.60911750793457,2.0,2.0918216705322266
44.34547805786133,0.5794257521629333,8.33889389038086,6.869898796081543,14.817463874816895,2.0,2.102280378341675,10,139,,,,,,,,,,
,,,,,,,10,142,7.431654453277588,6.833223342895508,0.5984312295913696,,,,,,,
,,,,,,,10,142,,,,inf,0.529949426651001,4.476842880249023,inf,9.315285682678223,2.0,2.1022801399230957
inf,0.5413112640380859,7.922009468078613,inf,20.000308990478516,2.0,2.1127917766571045,11,149,,,,,,,,,,
