epoch,step,train_c_logit_mean,train_c_logit_std,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
0,9,,,,0.7661150097846985,,27.890470504760742,,27.12435531616211,,,
0,12,0.5150878429412842,0.2975963354110718,,,,,,,0.9552082419395447,16.745521545410156,15.790312767028809
0,12,,,0.7257930040359497,,33.09744644165039,,32.37165451049805,,,,
1,19,,,,0.753755509853363,,19.069765090942383,,18.316009521484375,,,
1,25,-0.15775465965270996,0.22285804152488708,,,,,,,0.6266254782676697,20.001401901245117,19.374778747558594
1,25,,,0.7739538550376892,,19.412755966186523,,18.63880157470703,,,,
2,29,,,,0.6376371383666992,,27.819122314453125,,27.18148422241211,,,
2,38,-0.24713534116744995,0.27091386914253235,,,,,,,0.5952621698379517,15.537790298461914,14.94252872467041
2,38,,,0.6275526285171509,,14.1530122756958,,13.525461196899414,,,,
3,39,,,,0.6281036138534546,,13.579303741455078,,12.951200485229492,,,
3,49,,,,0.6264445781707764,,5.738083839416504,,5.111639022827148,,,
3,51,-0.37438884377479553,0.471704363822937,,,,,,,0.5542144179344177,19.60506248474121,19.05084800720215
3,51,,,0.6210828423500061,,11.893404006958008,,11.272321701049805,,,,
4,59,,,,0.6093366742134094,,9.304746627807617,,8.695409774780273,,,
4,64,-0.2872393727302551,0.4614029824733734,,,,,,,0.6010099053382874,15.058284759521484,14.457275390625
4,64,,,0.568192720413208,,11.927225112915039,,11.35903263092041,,,,
5,69,,,,0.5883107781410217,,6.348368167877197,,5.76005744934082,,,
5,77,-0.21601922810077667,0.5229343771934509,,,,,,,0.6257111430168152,13.30843448638916,12.682723045349121
5,77,,,0.6151403784751892,,7.486701965332031,,6.871561050415039,,,,
6,79,,,,0.6132751107215881,,0.6296036243438721,,0.016328511759638786,,,
6,89,,,,0.6416119933128357,,4.417936325073242,,3.7763242721557617,,,
6,90,-0.22553487122058868,0.8748703002929688,,,,,,,0.6403683423995972,24.740907669067383,24.10053825378418
6,90,,,0.6522729396820068,,5.3190131187438965,,4.666740417480469,,,,
7,99,,,,0.9007519483566284,,11.068540573120117,,10.1677885055542,,,
7,103,-0.15295614302158356,0.8375656008720398,,,,,,,0.6714264154434204,18.80190658569336,18.13047981262207
7,103,,,0.7453301548957825,,9.636488914489746,,8.891159057617188,,,,
8,109,,,,0.8598056435585022,,7.818853378295898,,6.959047794342041,,,
8,116,-1.433924913406372,1.8272258043289185,,,,,,,0.42105957865715027,30.55000877380371,30.128952026367188
8,116,,,0.6910992860794067,,8.465106964111328,,7.774009704589844,,,,
9,119,,,,0.4625328779220581,,1.9611183404922485,,1.4985854625701904,,,
9,129,,,,0.6717461943626404,,0.6717461943626404,,0.0,,,
9,129,-1.4365986585617065,1.6895960569381714,,,,,,,0.4059284031391144,26.236602783203125,25.830673217773438
9,129,,,0.5769914984703064,,5.669280529022217,,5.092289447784424,,,,
10,139,,,,0.6198371052742004,,1.9535236358642578,,1.3336865901947021,,,
10,142,-1.883272409439087,1.8225584030151367,,,,,,,0.3479149341583252,38.52814483642578,38.18022918701172
10,142,,,0.5140095353126526,,5.411776065826416,,4.89776611328125,,,,
11,149,,,,0.5315794348716736,,2.9761428833007812,,2.444563388824463,,,
11,155,-2.310408353805542,2.05948805809021,,,,,,,0.3024081289768219,29.107330322265625,28.804922103881836
11,155,,,0.4734366238117218,,4.208268165588379,,3.7348320484161377,,,,
12,159,,,,0.36097997426986694,,3.572996139526367,,3.2120161056518555,,,
12,168,-2.257747173309326,2.060107707977295,,,,,,,0.3039988577365875,37.06039047241211,36.75639343261719
12,168,,,0.41477298736572266,,2.538790464401245,,2.1240174770355225,,,,
13,169,,,,0.42668524384498596,,7.9605937004089355,,7.533908367156982,,,
13,179,,,,0.4498310983181,,1.7495933771133423,,1.29976224899292,,,
13,181,-1.6472581624984741,1.8654829263687134,,,,,,,0.37726932764053345,38.53487014770508,38.1576042175293
13,181,,,0.4442649781703949,,4.583890438079834,,4.1396260261535645,,,,
14,189,,,,0.3648914694786072,,4.480991363525391,,4.116099834442139,,,
14,194,-1.9038035869598389,1.9655455350875854,,,,,,,0.3445756137371063,25.39775276184082,25.053176879882812
14,194,,,0.4213135838508606,,4.0714921951293945,,3.6501779556274414,,,,
15,199,,,,0.42908334732055664,,3.7617924213409424,,3.3327090740203857,,,
15,207,-2.519956111907959,2.233736038208008,,,,,,,0.293981671333313,48.59027862548828,48.29629135131836
15,207,,,0.42275771498680115,,2.898653984069824,,2.4758963584899902,,,,
16,209,,,,0.39201056957244873,,2.6912827491760254,,2.299272060394287,,,
16,219,,,,0.44534367322921753,,4.0101141929626465,,3.5647706985473633,,,
16,220,-2.3195929527282715,2.128979444503784,,,,,,,0.29809221625328064,49.25901412963867,48.96092224121094
16,220,,,0.4205295145511627,,3.3895952701568604,,2.9690656661987305,,,,
17,229,,,,0.3896980285644531,,4.914124965667725,,4.5244269371032715,,,
17,233,-2.725778102874756,2.2309281826019287,,,,,,,0.26725175976753235,41.24933624267578,40.982086181640625
17,233,,,0.3386960029602051,,2.692267894744873,,2.353571891784668,,,,
18,239,,,,0.5667760372161865,,0.5667760372161865,,8.407790785948902e-45,,,
18,246,-1.2677580118179321,1.7142308950424194,,,,,,,0.4409628212451935,29.30563735961914,28.864673614501953
18,246,,,0.4092541038990021,,5.987115859985352,,5.577861309051514,,,,
19,249,,,,0.5494539737701416,,3.4856348037719727,,2.936180830001831,,,
19,259,,,,0.7700786590576172,,0.7700786590576172,,0.0,,,
19,259,-0.5151493549346924,1.7835661172866821,,,,,,,0.728401780128479,29.816747665405273,29.088346481323242
19,259,,,0.6036728024482727,,6.199474334716797,,5.595800876617432,,,,
20,269,,,,0.7888883352279663,,1.6928679943084717,,0.9039796590805054,,,
20,272,-0.7653782367706299,1.3764716386795044,,,,,,,0.5364372730255127,24.6550350189209,24.11859703063965
20,272,,,0.6646996140480042,,4.171192169189453,,3.506493330001831,,,,
21,279,,,,0.629091739654541,,1.5606575012207031,,0.9315658211708069,,,
21,285,-1.1076396703720093,1.4209569692611694,,,,,,,0.4260977804660797,24.60811424255371,24.182016372680664
21,285,,,0.5218287706375122,,2.745095729827881,,2.223266839981079,,,,
22,289,,,,0.47107988595962524,,1.157975435256958,,0.686895489692688,,,
22,298,-1.9012744426727295,1.6968698501586914,,,,,,,0.3144336938858032,43.41106414794922,43.09663009643555
22,298,,,0.45093390345573425,,2.5052478313446045,,2.054314136505127,,,,
23,299,,,,0.39502236247062683,,0.3950229585170746,,6.091856903367443e-07,,,
23,309,,,,0.3000556528568268,,0.3000556528568268,,0.0,,,
23,311,-2.2845823764801025,2.045292377471924,,,,,,,0.2851501405239105,48.54789733886719,48.26274871826172
23,311,,,0.40160998702049255,,1.0766111612319946,,0.6750011444091797,,,,
24,319,,,,0.36239463090896606,,3.113292932510376,,2.7508983612060547,,,
24,324,-2.8239595890045166,2.2306289672851562,,,,,,,0.2551090717315674,46.56308364868164,46.30797576904297
24,324,,,0.37125164270401,,1.2271493673324585,,0.8558976650238037,,,,
25,329,,,,0.3245095908641815,,8.647979736328125,,8.323470115661621,,,
25,337,-1.5434598922729492,1.8886466026306152,,,,,,,0.3582129180431366,30.05436134338379,29.696149826049805
