train_c_accuracy,train_c_auc,train_c_f1,train_y_accuracy,train_y_auc,train_y_f1,train_concept_loss,train_task_loss,train_loss,loss,epoch,step,val_c_accuracy,val_c_auc,val_c_f1,val_y_accuracy,val_y_auc,val_y_f1,val_concept_loss,val_task_loss,val_loss
0.8348214030265808,0.8108158111572266,0.0,0.71875,0.9068825244903564,0.5263158082962036,0.5901845693588257,12.092422485351562,12.68260669708252,12.68260669708252,0,9,,,,,,,,,
,,,,,,,,,,0,15,0.9952381253242493,0.0,1.0024453489521079e-10,0.7850000262260437,0.8785272240638733,0.4662626385688782,0.4061187505722046,11.361579895019531,11.767696380615234
0.8377976417541504,0.7549127340316772,0.018018018454313278,0.78125,0.8745098114013672,0.7200000286102295,0.43727439641952515,17.683712005615234,18.120986938476562,18.120986938476562,1,19,,,,,,,,,
0.800595223903656,0.4673783481121063,0.028985507786273956,0.78125,0.887445867061615,0.8205128312110901,0.5684110522270203,9.065479278564453,9.633890151977539,9.633890151977539,1,29,,,,,,,,,
,,,,,,,,,,1,31,1.0,0.0,2.9176922304518554e+17,0.8550000190734863,0.9133447408676147,0.5308235287666321,0.22740241885185242,6.4816203117370605,6.7090229988098145
0.8288690447807312,0.35491591691970825,0.04958677664399147,0.84375,0.908730149269104,0.8780487775802612,0.571308970451355,7.2778472900390625,7.849156379699707,7.849156379699707,2,39,,,,,,,,,
,,,,,,,,,,2,47,0.9964285492897034,0.0,3.984499077274193e+19,0.8349999785423279,0.9304519891738892,0.5426212549209595,0.2798976004123688,6.630122661590576,6.910020351409912
0.8303571343421936,0.5473240613937378,0.06557376682758331,0.9375,0.9490196108818054,0.9444444179534912,0.4611719250679016,3.821226119995117,4.282398223876953,4.282398223876953,3,49,,,,,,,,,
0.8526785969734192,0.6965617537498474,0.0,0.875,0.9921568632125854,0.8461538553237915,0.41096076369285583,6.768868923187256,7.1798295974731445,7.1798295974731445,3,59,,,,,,,,,
,,,,,,,,,,3,63,0.9521428942680359,0.0,0.0,0.7149999737739563,0.9240376353263855,0.4752069115638733,0.38370242714881897,13.156145095825195,13.539847373962402
0.8125,0.5795241594314575,0.20253165066242218,0.96875,0.9803921580314636,0.9696969985961914,0.5085377097129822,2.8081653118133545,3.3167030811309814,3.3167030811309814,4,69,,,,,,,,,
0.8095238208770752,0.285449743270874,0.1428571492433548,0.8333333134651184,0.6666666269302368,0.8571428656578064,0.4391106069087982,11.091863632202148,11.530974388122559,11.530974388122559,4,79,,,,,,,,,
,,,,,,,,,,4,79,0.9776191115379333,0.0,0.0,0.8149999976158142,0.925326406955719,0.5551918148994446,0.26322218775749207,6.91823673248291,7.181458950042725
0.8333333134651184,0.790428876876831,0.18840579688549042,0.90625,0.984375,0.9032257795333862,0.3847746253013611,4.762057304382324,5.14683198928833,5.14683198928833,5,89,,,,,,,,,
,,,,,,,,,,5,95,0.9700000286102295,0.0,0.0,0.5849999785423279,0.9406471252441406,0.38338878750801086,0.33386436104774475,17.592626571655273,17.926490783691406
0.8660714030265808,0.5359859466552734,0.1818181872367859,0.65625,1.0,0.6666666865348816,0.43313881754875183,12.608638763427734,13.041777610778809,13.041777610778809,6,99,,,,,,,,,
0.8392857313156128,0.7629523873329163,0.29870128631591797,0.9375,0.9725490212440491,0.9333333373069763,0.3454752564430237,5.454960346221924,5.800435543060303,5.800435543060303,6,109,,,,,,,,,
,,,,,,,,,,6,111,0.9809523224830627,0.0,0.0,0.7850000262260437,0.9487838745117188,0.5132396221160889,0.19830083847045898,9.743042945861816,9.941344261169434
0.7872023582458496,0.6443353295326233,0.0,0.90625,0.9727272987365723,0.9333333373069763,0.46614110469818115,5.887002468109131,6.353143692016602,6.353143692016602,7,119,,,,,,,,,
,,,,,,,,,,7,127,0.9976190328598022,0.0,3.1973685545735396e+20,0.8100000023841858,0.9418520927429199,0.5327561497688293,0.15005409717559814,8.49085807800293,8.640912055969238
0.8913690447807312,0.5514113903045654,0.1204819306731224,0.90625,0.9653679728507996,0.8799999952316284,0.32809439301490784,5.493257999420166,5.821352481842041,5.821352481842041,8,129,,,,,,,,,
0.8720238208770752,0.6388774514198303,0.12244898080825806,0.75,0.9610389471054077,0.7333333492279053,0.35320499539375305,11.244945526123047,11.598150253295898,11.598150253295898,8,139,,,,,,,,,
,,,,,,,,,,8,143,0.9992857575416565,0.0,6.98152545207264e+29,0.8600000143051147,0.9497936964035034,0.6065497398376465,0.13807570934295654,5.6925458908081055,5.830621242523193
0.800595223903656,0.6960582733154297,0.09459459781646729,0.875,0.932539701461792,0.8888888955116272,0.459716260433197,5.057138442993164,5.516854763031006,5.516854763031006,9,149,,,,,,,,,
0.8650793433189392,0.4411375820636749,0.0,1.0,1.0,1.0,0.3158999979496002,0.5576013326644897,0.8735013008117676,0.8735013008117676,9,159,,,,,,,,,
,,,,,,,,,,9,159,1.0,0.0,4.230259204456003e+31,0.8849999904632568,0.9467248320579529,0.6371602416038513,0.1286214292049408,5.032956123352051,5.161577224731445
0.8973214030265808,0.6151902675628662,0.028169013559818268,0.875,0.9590909481048584,0.8333333134651184,0.3240838348865509,5.3260908126831055,5.650174617767334,5.650174617767334,10,169,,,,,,,,,
