train_loss_step,train_concept_loss_step,train_task_loss_step,epoch,step,val_loss,val_concept_loss,val_task_loss,val_logit_min,val_logit_mean,val_logit_max,val_best_threshold,val_best_mcc,train_loss_epoch,train_concept_loss_epoch,train_task_loss_epoch
1.2956576347351074,0.34647998213768005,1.122417688369751,0,9,,,,,,,,,,,
,,,0,15,1.3006092309951782,0.1326426863670349,1.234287977218628,-1.627335786819458,-1.4711618423461914,-1.000474214553833,0.20000000298023224,0.07461132854223251,,,
,,,0,15,,,,,,,,,1.4633864164352417,0.44339635968208313,1.2416883707046509
1.1912566423416138,0.2880227863788605,1.0472452640533447,1,19,,,,,,,,,,,
1.0179117918014526,0.28294840455055237,0.8764375448226929,1,29,,,,,,,,,,,
,,,1,31,1.2416026592254639,0.1262003481388092,1.1785025596618652,-1.3076257705688477,-1.2995599508285522,-1.17319655418396,0.10000000149011612,0.0,,,
,,,1,31,,,,,,,,,1.3461397886276245,0.2700258493423462,1.2111269235610962
1.3368988037109375,0.3385811448097229,1.1676082611083984,2,39,,,,,,,,,,,
,,,2,47,1.1132558584213257,0.13693204522132874,1.0447899103164673,-0.6968245506286621,-0.6837576031684875,-0.5101548433303833,0.3499999940395355,0.010488676838576794,,,
,,,2,47,,,,,,,,,1.389970064163208,0.2579987943172455,1.2609705924987793
1.4504884481430054,0.1982761174440384,1.3513504266738892,3,49,,,,,,,,,,,
1.358398675918579,0.2544127404689789,1.2311923503875732,3,59,,,,,,,,,,,
,,,3,63,1.1285912990570068,0.17229706048965454,1.0424426794052124,-0.21356379985809326,0.04867616668343544,0.32591772079467773,0.550000011920929,0.07283570617437363,,,
,,,3,63,,,,,,,,,1.275846004486084,0.25976184010505676,1.1459652185440063
1.8118804693222046,0.30053871870040894,1.6616110801696777,4,69,,,,,,,,,,,
0.7839321494102478,0.16726963222026825,0.7002973556518555,4,79,,,,,,,,,,,
,,,4,79,1.077020525932312,0.16232828795909882,0.9958563446998596,-0.4630125164985657,-0.1829572319984436,0.2558286190032959,0.44999998807907104,0.15643766522407532,,,
,,,4,79,,,,,,,,,1.2835081815719604,0.26191046833992004,1.1525527238845825
1.144890546798706,0.25206199288368225,1.0188595056533813,5,89,,,,,,,,,,,
,,,5,95,1.0850049257278442,0.14174456894397736,1.0141326189041138,-0.4186719059944153,-0.37414905428886414,-0.30298590660095215,0.4000000059604645,0.1052166223526001,,,
,,,5,95,,,,,,,,,1.2728487253189087,0.26229536533355713,1.141701102256775
1.350919485092163,0.24605238437652588,1.2278932332992554,6,99,,,,,,,,,,,
1.4638605117797852,0.3016067445278168,1.3130571842193604,6,109,,,,,,,,,,,
,,,6,111,1.164227843284607,0.17737697064876556,1.075539231300354,0.050003647804260254,0.3210754096508026,0.454265832901001,0.6000000238418579,0.19777248799800873,,,
,,,6,111,,,,,,,,,1.2651875019073486,0.25727126002311707,1.1365517377853394
1.3079590797424316,0.2198394387960434,1.1980394124984741,7,119,,,,,,,,,,,
,,,7,127,1.104016661643982,0.169684499502182,1.0191744565963745,-0.31713902950286865,0.017413310706615448,0.17537152767181396,0.5,0.2561340928077698,,,
,,,7,127,,,,,,,,,1.2955551147460938,0.2610194683074951,1.1650454998016357
1.0841065645217896,0.2655428946018219,0.951335072517395,8,129,,,,,,,,,,,
1.5080300569534302,0.27866145968437195,1.368699312210083,8,139,,,,,,,,,,,
,,,8,143,1.0841189622879028,0.15976166725158691,1.0042381286621094,-0.3042909502983093,-0.24197863042354584,-0.16078925132751465,0.44999998807907104,0.367464542388916,,,
,,,8,143,,,,,,,,,1.2691985368728638,0.2637542486190796,1.1373215913772583
1.449014663696289,0.25537246465682983,1.3213284015655518,9,149,,,,,,,,,,,
1.0064178705215454,0.2650686204433441,0.8738836050033569,9,159,,,,,,,,,,,
,,,9,159,1.2499821186065674,0.17554794251918793,1.162208080291748,0.37079572677612305,0.5367085933685303,0.552470326423645,0.6000000238418579,0.047702327370643616,,,
,,,9,159,,,,,,,,,1.2911382913589478,0.26545146107673645,1.1584124565124512
1.6746785640716553,0.35736367106437683,1.4959967136383057,10,169,,,,,,,,,,,
,,,10,175,1.0921863317489624,0.15021590888500214,1.0170783996582031,-0.43616312742233276,-0.27128109335899353,-0.08494198322296143,0.44999998807907104,0.029735051095485687,,,
,,,10,175,,,,,,,,,1.2925206422805786,0.26888400316238403,1.158078670501709
1.0398948192596436,0.23393140733242035,0.9229291677474976,11,179,,,,,,,,,,,
1.0930185317993164,0.23756979405879974,0.9742336869239807,11,189,,,,,,,,,,,
,,,11,191,1.1145797967910767,0.15060944855213165,1.0392749309539795,-0.35641127824783325,0.01364501379430294,0.19112622737884521,0.5,0.03651086241006851,,,
,,,11,191,,,,,,,,,1.294758915901184,0.26472389698028564,1.162397027015686
1.125563144683838,0.23429743945598602,1.008414387702942,12,199,,,,,,,,,,,
,,,12,207,1.1263651847839355,0.18602770566940308,1.0333514213562012,-0.003235936164855957,0.05435199290513992,0.1325896978378296,0.5,0.18671655654907227,,,
,,,12,207,,,,,,,,,1.2809029817581177,0.25838702917099,1.1517094373703003
1.038532018661499,0.21590742468833923,0.930578351020813,13,209,,,,,,,,,,,
1.3499850034713745,0.28530004620552063,1.2073349952697754,13,219,,,,,,,,,,,
,,,13,223,1.1065292358398438,0.14525511860847473,1.0339016914367676,-0.15832650661468506,-0.012030418030917645,0.107704758644104,0.5,0.11728894710540771,,,
,,,13,223,,,,,,,,,1.2871862649917603,0.2684325575828552,1.1529699563980103
1.4824379682540894,0.23373372852802277,1.365571141242981,14,229,,,,,,,,,,,
1.4628143310546875,0.46276041865348816,1.2314341068267822,14,239,,,,,,,,,,,
,,,14,239,1.1343305110931396,0.188484326004982,1.0400882959365845,-0.028638005256652832,0.12281028926372528,0.2407616376876831,0.550000011920929,0.49367067217826843,,,
,,,14,239,,,,,,,,,1.2945817708969116,0.26030024886131287,1.1644316911697388
1.3261537551879883,0.2694191634654999,1.1914441585540771,15,249,,,,,,,,,,,
,,,15,255,1.0732755661010742,0.16132424771785736,0.9926133751869202,-0.279843270778656,-0.23573723435401917,0.13955330848693848,0.44999998807907104,0.46674293279647827,,,
,,,15,255,,,,,,,,,1.275972843170166,0.27306535840034485,1.1394402980804443
1.2415931224822998,0.27398383617401123,1.104601263999939,16,259,,,,,,,,,,,
1.3512946367263794,0.2461589276790619,1.228215217590332,16,269,,,,,,,,,,,
,,,16,271,1.1526885032653809,0.1683935523033142,1.0684916973114014,0.1104273796081543,0.30827581882476807,0.5015734434127808,0.6000000238418579,0.3293248116970062,,,
,,,16,271,,,,,,,,,1.2594338655471802,0.2627110183238983,1.1280784606933594
0.9494378566741943,0.18352937698364258,0.857673168182373,17,279,,,,,,,,,,,
,,,17,287,1.1104683876037598,0.16668157279491425,1.0271275043487549,0.036839962005615234,0.055659953504800797,0.2897588014602661,0.550000011920929,0.3763177990913391,,,
,,,17,287,,,,,,,,,1.3012285232543945,0.2673230767250061,1.1675668954849243
1.0679101943969727,0.21854260563850403,0.9586388468742371,18,289,,,,,,,,,,,
1.2125635147094727,0.25707390904426575,1.084026575088501,18,299,,,,,,,,,,,
,,,18,303,1.131649374961853,0.15782052278518677,1.0527390241622925,0.0021375417709350586,0.09123639762401581,0.10303032398223877,0.10000000149011612,0.0,,,
,,,18,303,,,,,,,,,1.3037195205688477,0.26692822575569153,1.170255422592163
1.123606562614441,0.24384541809558868,1.0016838312149048,19,309,,,,,,,,,,,
0.7231457233428955,0.16029921174049377,0.6429961323738098,19,319,,,,,,,,,,,
,,,19,319,1.0767059326171875,0.14601953327655792,1.003696084022522,-0.34765195846557617,-0.20912638306617737,-0.0767521858215332,0.44999998807907104,0.1914921998977661,,,
,,,19,319,,,,,,,,,1.278348684310913,0.26824286580085754,1.144227147102356
1.0612373352050781,0.22584547102451324,0.9483146071434021,20,329,,,,,,,,,,,
,,,20,335,1.094650149345398,0.14361073076725006,1.0228447914123535,-0.23474127054214478,-0.2347412258386612,-0.23474127054214478,0.10000000149011612,0.0,,,
,,,20,335,,,,,,,,,1.2767066955566406,0.2609139382839203,1.1462496519088745
1.2132974863052368,0.25997447967529297,1.0833102464675903,21,339,,,,,,,,,,,
1.2928962707519531,0.251442551612854,1.167175054550171,21,349,,,,,,,,,,,
,,,21,351,1.1450963020324707,0.1802954524755478,1.0549485683441162,0.07269060611724854,0.09550506621599197,0.3073549270629883,0.10000000149011612,0.0,,,
,,,21,351,,,,,,,,,1.2737634181976318,0.262490451335907,1.1425180435180664
1.400585412979126,0.301432728767395,1.2498689889907837,22,359,,,,,,,,,,,
,,,22,367,1.1090394258499146,0.1563849300146103,1.0308469533920288,-0.13934242725372314,0.010172423906624317,0.28565514087677,0.5,0.10920373350381851,,,
,,,22,367,,,,,,,,,1.2921757698059082,0.26483434438705444,1.1597588062286377
0.9586748480796814,0.28652074933052063,0.8154144883155823,23,369,,,,,,,,,,,
1.0669000148773193,0.2589547634124756,0.9374226927757263,23,379,,,,,,,,,,,
,,,23,383,1.1089367866516113,0.1494087129831314,1.0342323780059814,-0.0947192907333374,-0.05840402469038963,-0.05593669414520264,0.10000000149011612,0.0,,,
,,,23,383,,,,,,,,,1.287576675415039,0.2645951211452484,1.1552790403366089
1.3136138916015625,0.259613573551178,1.183807134628296,24,389,,,,,,,,,,,
1.7498152256011963,0.2481311857700348,1.6257495880126953,24,399,,,,,,,,,,,
,,,24,399,1.1166601181030273,0.15617549419403076,1.0385723114013672,-0.05305826663970947,-0.02759360708296299,0.22003138065338135,0.10000000149011612,0.0,,,
,,,24,399,,,,,,,,,1.2848403453826904,0.26545146107673645,1.1521145105361938
0.8753476738929749,0.20558775961399078,0.7725538015365601,25,409,,,,,,,,,,,
,,,25,415,1.0981255769729614,0.1581171452999115,1.0190669298171997,-0.2354363203048706,-0.1792447715997696,-0.03709685802459717,0.44999998807907104,0.07890534400939941,,,
,,,25,415,,,,,,,,,1.28726327419281,0.2626517415046692,1.1559373140335083
1.0692297220230103,0.2363569140434265,0.9510512948036194,26,419,,,,,,,,,,,
1.3149021863937378,0.2674271762371063,1.1811885833740234,26,429,,,,,,,,,,,
,,,26,431,1.1067805290222168,0.14725184440612793,1.0331544876098633,-0.1402723789215088,-0.06834611296653748,-0.05930203199386597,0.10000000149011612,0.0,,,
,,,26,431,,,,,,,,,1.3036282062530518,0.2651063799858093,1.1710749864578247
1.4904956817626953,0.3096189498901367,1.335686206817627,27,439,,,,,,,,,,,
,,,27,447,1.1060525178909302,0.15357613563537598,1.0292645692825317,-0.15567618608474731,-0.0998004600405693,-0.0684465765953064,0.10000000149011612,0.0,,,
,,,27,447,,,,,,,,,1.2904692888259888,0.26057934761047363,1.1601794958114624
1.3028769493103027,0.2326679676771164,1.1865429878234863,28,449,,,,,,,,,,,
1.1351861953735352,0.27314773201942444,0.9986123442649841,28,459,,,,,,,,,,,
,,,28,463,1.1125308275222778,0.1627328246831894,1.0311644077301025,-0.12886643409729004,-0.09575582295656204,0.15450727939605713,0.10000000149011612,0.0,,,
,,,28,463,,,,,,,,,1.2750252485275269,0.2588433623313904,1.1456036567687988
1.4090676307678223,0.2928881049156189,1.2626235485076904,29,469,,,,,,,,,,,
1.2515997886657715,0.25942426919937134,1.1218876838684082,29,479,,,,,,,,,,,
,,,29,479,1.0891289710998535,0.15343829989433289,1.0124096870422363,-0.19373762607574463,-0.09697750955820084,0.15779626369476318,0.5,0.1687067300081253,,,
,,,29,479,,,,,,,,,1.2709847688674927,0.26225849986076355,1.1398553848266602
1.3741250038146973,0.2946483790874481,1.226800799369812,30,489,,,,,,,,,,,
,,,30,495,1.1215753555297852,0.1637192964553833,1.0397157669067383,-0.011519074440002441,-0.007470594719052315,0.10137796401977539,0.10000000149011612,0.0,,,
,,,30,495,,,,,,,,,1.2626538276672363,0.2625514268875122,1.1313782930374146
1.2992804050445557,0.31531888246536255,1.1416209936141968,31,499,,,,,,,,,,,
1.2404483556747437,0.24084119498729706,1.120027780532837,31,509,,,,,,,,,,,
